"transaction_id";"customer_id";"transaction_amount_usd";"velocity_1h";"velocity_24h";"geo_distance_km";"device_risk_score";"merchant_risk_score";"synthetic_identity_score";"high_amount_flag";"velocity_flag";"geo_risk_flag";"fraud_label"
"T9057514";"C100056";180.02;2;3;37.2;0.537;0.263;0.037;0;0;0;0
"T9032378";"C100057";55.34;2;3;2.1;0.138;0.175;0.08;0;0;0;0
"T9029310";"C100058";249.08;0;1;8.7;0.248;0.024;0.201;0;0;0;0
"T9011987";"C100059";298.1;0;2;28.7;0.362;0.216;0.079;0;0;0;0
"T9031071";"C100061";63.66;1;3;7.2;0.223;0.183;0.057;0;0;0;0
"T9022590";"C100062";10.94;2;5;51.7;0.21;0.155;0.003;0;0;0;0
"T9058149";"C100063";119.67;1;4;1861.8;0.534;0.295;0.256;0;0;1;1
"T9000433";"C100065";210.19;2;4;21.6;0.306;0.249;0.198;0;0;0;0
"T9057297";"C100067";86.82;1;2;45.4;0.437;0.02;0.343;0;0;0;0
"T9004095";"C100068";30.31;4;6;2836.2;0.224;0.309;0.303;0;0;1;1
"T9049600";"C100069";97.55;0;3;0.6;0.422;0.478;0.151;0;0;0;0
"T9015006";"C100070";69.54;0;1;385.0;0.219;0.07;0.142;0;0;0;0
"T9021549";"C100071";169.91;2;5;8.1;0.356;0.567;0.005;0;0;0;0
"T9032288";"C100072";327.15;1;4;15.7;0.145;0.475;0.286;0;0;0;1
"T9063389";"C100073";143.75;1;3;541.0;0.215;0.121;0.194;0;0;1;0
"T9020793";"C100075";183.8;0;3;11.2;0.329;0.206;0.452;0;0;0;0
"T9064566";"C100076";238.46;0;1;42.2;0.065;0.443;0.354;0;0;0;0
"T9018763";"C100078";40.84;1;4;15.8;0.455;0.286;0.099;0;0;0;0
"T9004563";"C100079";7.19;1;1;30.9;0.223;0.075;0.276;0;0;0;0
"T9030757";"C100080";71.27;0;3;26.5;0.245;0.528;0.351;0;0;0;0
"T9004879";"C100081";35.87;0;2;24.9;0.216;0.247;0.203;0;0;0;0
"T9064286";"C100082";13.33;0;5;81.0;0.164;0.37;0.225;0;0;0;0
"T9039013";"C100083";19.32;0;3;3.3;0.266;0.121;0.052;0;0;0;0
"T9012956";"C100084";92.05;0;2;16211.8;0.229;0.234;0.126;0;0;1;0
"T9063867";"C100085";119.64;0;2;22.3;0.336;0.054;0.03;0;0;0;0
"T9005394";"C100086";53.52;0;1;5.5;0.424;0.259;0.098;0;0;0;0
"T9001945";"C100087";49.95;1;2;31.7;0.31;0.458;0.082;0;0;0;0
"T9029223";"C100088";44.16;2;5;12.7;0.622;0.269;0.191;0;0;0;0
"T9000273";"C100090";170.59;0;3;19.2;0.234;0.073;0.352;0;0;0;0
"T9018985";"C100091";12.31;0;2;44.2;0.3;0.097;0.094;0;0;0;0
"T9006687";"C100092";17.27;1;6;3.2;0.121;0.068;0.48;0;0;0;0
"T9006328";"C100093";47.61;2;5;3.7;0.242;0.121;0.371;0;0;0;0
"T9038254";"C100095";136.73;0;3;2.3;0.159;0.068;0.046;0;0;0;0
"T9014811";"C100096";60.23;0;5;33.4;0.171;0.632;0.142;0;0;0;0
"T9040384";"C100097";16.6;2;6;2.9;0.076;0.063;0.07;0;0;0;0
"T9041544";"C100099";24.01;0;3;25.6;0.244;0.162;0.064;0;0;0;0
"T9041193";"C100100";297.25;4;7;8.8;0.125;0.067;0.272;0;0;0;1
"T9054643";"C100101";91.13;2;5;41.8;0.428;0.08;0.147;0;0;0;0
"T9006650";"C100102";30.52;2;3;1985.6;0.292;0.134;0.212;0;0;1;0
"T9040987";"C100103";77.54;2;5;16.2;0.612;0.147;0.118;0;0;0;0
"T9047787";"C100104";66.3;0;1;25.5;0.619;0.201;0.283;0;0;0;0
"T9004187";"C100106";75.34;0;3;2690.7;0.425;0.168;0.153;0;0;1;0
"T9050629";"C100107";20.48;1;2;49.2;0.452;0.354;0.016;0;0;0;0
"T9031874";"C100108";12.2;2;3;5.8;0.064;0.033;0.459;0;0;0;0
"T9007278";"C100109";86.4;3;4;14.6;0.317;0.053;0.187;0;0;0;0
"T9045589";"C100110";25.32;0;3;1.2;0.276;0.198;0.174;0;0;0;0
"T9021373";"C100111";16.01;1;5;91.3;0.381;0.319;0.104;0;0;0;0
"T9050299";"C100112";16.36;2;3;217.6;0.159;0.686;0.165;0;0;0;0
"T9036200";"C100113";67.0;0;4;70.8;0.397;0.376;0.343;0;0;0;0
"T9028200";"C100115";18.04;1;3;7.4;0.166;0.427;0.026;0;0;0;0
"T9026003";"C100118";63.1;0;3;1.6;0.349;0.114;0.116;0;0;0;0
"T9029976";"C100120";40.64;2;4;30.9;0.37;0.313;0.042;0;0;0;0
"T9037163";"C100121";105.26;0;3;40.8;0.292;0.08;0.344;0;0;0;0
"T9058204";"C100122";77.51;3;6;18.2;0.634;0.213;0.085;0;0;0;0
"T9040669";"C100123";104.53;2;6;21.7;0.019;0.225;0.003;0;0;0;0
"T9040010";"C100124";158.19;2;4;544.7;0.536;0.08;0.261;0;0;1;0
"T9038028";"C100128";58.24;1;5;1.9;0.763;0.291;0.076;0;0;0;0
"T9005927";"C100129";11.41;0;4;40.8;0.495;0.299;0.157;0;0;0;0
"T9019415";"C100131";180.8;1;2;11.7;0.335;0.397;0.184;0;0;0;0
"T9051579";"C100132";120.75;2;2;1998.9;0.131;0.241;0.144;0;0;1;0
"T9004245";"C100134";99.7;0;3;5.9;0.292;0.329;0.212;0;0;0;0
"T9045933";"C100135";57.82;0;5;2.1;0.274;0.071;0.09;0;0;0;0
"T9033929";"C100136";427.52;0;2;3.8;0.509;0.176;0.056;0;0;0;0
"T9061687";"C100138";302.01;1;3;24.6;0.258;0.191;0.282;0;0;0;0
"T9060021";"C100139";75.67;1;7;6.4;0.135;0.138;0.037;0;0;0;0
"T9008815";"C100140";36.19;0;1;39.0;0.297;0.078;0.342;0;0;0;0
"T9012351";"C100141";82.09;1;4;69.2;0.243;0.078;0.12;0;0;0;0
"T9048211";"C100142";79.16;2;5;6.0;0.439;0.159;0.191;0;0;0;0
"T9046400";"C100144";102.4;2;3;32.3;0.547;0.286;0.129;0;0;0;0
"T9031888";"C100147";224.92;1;1;31.2;0.28;0.221;0.305;0;0;0;0
"T9010021";"C100149";10.06;0;2;41.0;0.185;0.266;0.326;0;0;0;0
"T9017109";"C100150";57.06;0;4;0.4;0.357;0.046;0.03;0;0;0;0
"T9021701";"C100151";11.58;2;5;28.8;0.404;0.521;0.323;0;0;0;0
"T9051085";"C100152";410.0;1;2;20.4;0.244;0.66;0.262;0;0;0;0
"T9043720";"C100155";60.05;1;2;12.1;0.137;0.094;0.676;0;0;0;0
"T9011947";"C100156";132.9;0;0;4.7;0.509;0.502;0.516;0;0;0;0
"T9025726";"C100157";43.19;0;0;12.3;0.168;0.721;0.465;0;0;0;0
"T9000754";"C100159";90.74;2;4;32.2;0.121;0.25;0.339;0;0;0;0
"T9051943";"C100162";33.88;4;5;4.0;0.456;0.077;0.156;0;0;0;0
"T9036162";"C100163";35.84;0;2;10.8;0.126;0.091;0.207;0;0;0;0
"T9040562";"C100166";86.4;0;4;8.0;0.241;0.251;0.257;0;0;0;0
"T9049598";"C100167";164.87;1;4;56.5;0.339;0.113;0.15;0;0;0;0
"T9012831";"C100168";31.93;1;7;2636.5;0.334;0.269;0.381;0;0;1;0
"T9031109";"C100169";201.94;3;3;51.7;0.106;0.415;0.113;0;0;0;0
"T9023094";"C100170";13.72;2;4;23.5;0.237;0.309;0.039;0;0;0;0
"T9003431";"C100172";47.87;0;1;20.6;0.225;0.483;0.041;0;0;0;0
"T9059941";"C100173";20.23;2;7;8.7;0.284;0.191;0.393;0;0;0;0
"T9029220";"C100174";57.22;0;3;3.8;0.142;0.053;0.026;0;0;0;0
"T9035700";"C100175";86.66;0;2;0.4;0.576;0.131;0.084;0;0;0;0
"T9059931";"C100176";29.06;2;7;5.1;0.161;0.282;0.455;0;0;0;0
"T9021967";"C100177";101.0;1;3;29.4;0.725;0.135;0.088;0;0;0;0
"T9046704";"C100178";509.28;0;5;30.2;0.292;0.561;0.236;0;0;0;0
"T9041408";"C100179";80.07;1;3;0.8;0.552;0.673;0.04;0;0;0;0
"T9058957";"C100180";48.62;0;3;31.0;0.124;0.058;0.131;0;0;0;0
"T9030878";"C100181";87.06;3;5;22.2;0.365;0.229;0.117;0;0;0;0
"T9020083";"C100182";17.93;0;0;3.8;0.45;0.341;0.024;0;0;0;1
"T9019271";"C100183";193.43;3;6;43.0;0.374;0.39;0.072;0;0;0;0
"T9049263";"C100184";14.16;3;5;9.8;0.25;0.413;0.451;0;0;0;0
"T9039999";"C100185";31.23;1;2;189.8;0.197;0.609;0.235;0;0;0;0
"T9027510";"C100187";17.61;3;5;3.8;0.224;0.363;0.113;0;0;0;0
"T9009720";"C100188";271.43;2;4;60.8;0.274;0.264;0.04;0;0;0;0
"T9017353";"C100191";143.38;1;2;636.2;0.031;0.145;0.184;0;0;1;0
"T9015277";"C100192";79.88;1;3;13.3;0.091;0.604;0.122;0;0;0;0
"T9017777";"C100193";58.37;0;3;40.5;0.367;0.052;0.119;0;0;0;0
"T9022964";"C100194";26.26;2;5;72.7;0.246;0.291;0.477;0;0;0;0
"T9038499";"C100195";4.02;1;4;1733.3;0.463;0.24;0.245;0;0;1;0
"T9050686";"C100196";43.4;0;3;3.0;0.178;0.163;0.094;0;0;0;0
"T9057778";"C100198";72.43;0;0;11.0;0.197;0.171;0.14;0;0;0;0
"T9016726";"C100199";64.92;1;5;3.1;0.175;0.353;0.037;0;0;0;0
"T9043515";"C100203";738.39;1;4;5.0;0.353;0.359;0.14;0;0;0;0
"T9015815";"C100204";127.08;3;3;22.3;0.068;0.136;0.192;0;0;0;0
"T9015443";"C100205";143.65;2;6;24.7;0.55;0.308;0.172;0;0;0;0
"T9044675";"C100208";19.14;0;4;3068.2;0.15;0.323;0.47;0;0;1;1
"T9026291";"C100209";119.25;2;4;3.4;0.083;0.072;0.188;0;0;0;0
"T9055640";"C100210";45.94;0;1;13.8;0.288;0.618;0.105;0;0;0;0
"T9001400";"C100211";214.23;4;4;20.7;0.153;0.281;0.036;0;0;0;0
"T9060598";"C100212";814.65;0;4;30.9;0.166;0.39;0.255;0;0;0;1
"T9040999";"C100214";114.17;3;7;942.4;0.289;0.158;0.066;0;0;1;0
"T9022645";"C100216";45.98;0;2;10.1;0.322;0.174;0.101;0;0;0;0
"T9004568";"C100217";30.89;0;1;28.5;0.083;0.19;0.094;0;0;0;0
"T9064538";"C100218";8.64;1;3;23.0;0.473;0.425;0.1;0;0;0;0
"T9006491";"C100219";76.87;0;2;29.8;0.171;0.097;0.299;0;0;0;0
"T9000773";"C100220";82.83;1;6;5.2;0.372;0.554;0.097;0;0;0;0
"T9023870";"C100221";36.58;0;0;17.3;0.26;0.162;0.702;0;0;0;0
"T9030800";"C100222";278.63;0;5;32.2;0.314;0.449;0.402;0;0;0;0
"T9022273";"C100226";15.6;5;7;1597.3;0.175;0.365;0.092;0;0;1;0
"T9008426";"C100227";27.62;0;3;4.1;0.065;0.148;0.143;0;0;0;0
"T9046916";"C100228";9.07;2;5;5.4;0.368;0.519;0.221;0;0;0;0
"T9015081";"C100229";26.45;0;5;11.5;0.397;0.319;0.174;0;0;0;0
"T9043213";"C100230";112.41;0;1;1420.8;0.179;0.092;0.133;0;0;1;0
"T9040278";"C100231";43.16;0;1;19.1;0.206;0.203;0.287;0;0;0;0
"T9058003";"C100233";6.0;1;7;42.0;0.48;0.578;0.391;0;0;0;0
"T9007743";"C100234";91.21;2;4;8.2;0.392;0.302;0.052;0;0;0;0
"T9044325";"C100237";35.36;0;1;49.6;0.297;0.209;0.419;0;0;0;1
"T9021090";"C100238";3.08;0;0;13.4;0.734;0.637;0.271;0;0;0;0
"T9043930";"C100239";21.97;0;4;21.6;0.318;0.218;0.12;0;0;0;0
"T9051235";"C100240";25.07;0;5;25.1;0.355;0.101;0.05;0;0;0;0
"T9038371";"C100243";46.99;1;2;2.7;0.388;0.117;0.558;0;0;0;0
"T9040793";"C100245";20.34;0;4;5.1;0.239;0.304;0.02;0;0;0;0
"T9009084";"C100246";39.45;1;2;8.9;0.402;0.137;0.281;0;0;0;0
"T9062452";"C100247";22.45;1;1;13.8;0.509;0.388;0.42;0;0;0;0
"T9025742";"C100248";67.75;0;6;3406.0;0.276;0.083;0.255;0;0;1;0
"T9012114";"C100251";34.89;0;1;20.9;0.574;0.228;0.061;0;0;0;0
"T9026438";"C100252";827.76;3;5;3.5;0.26;0.398;0.245;0;0;0;0
"T9048133";"C100254";30.36;1;3;1.7;0.095;0.487;0.193;0;0;0;0
"T9009485";"C100256";264.37;1;5;0.4;0.212;0.427;0.482;0;0;0;0
"T9038873";"C100257";125.38;1;2;22.4;0.057;0.475;0.118;0;0;0;0
"T9029537";"C100258";88.99;0;1;2438.8;0.375;0.561;0.061;0;0;1;0
"T9009590";"C100259";38.54;1;3;22.0;0.745;0.374;0.154;0;0;0;0
"T9062491";"C100261";212.76;0;0;9.0;0.143;0.479;0.08;0;0;0;0
"T9060281";"C100263";76.46;0;2;11.1;0.28;0.44;0.337;0;0;0;0
"T9022411";"C100264";15.95;0;0;14.6;0.393;0.074;0.28;0;0;0;0
"T9038554";"C100265";57.53;1;4;4.8;0.37;0.364;0.25;0;0;0;0
"T9018956";"C100266";122.11;1;3;4.3;0.233;0.122;0.073;0;0;0;0
"T9046532";"C100267";86.89;0;3;12.0;0.313;0.075;0.32;0;0;0;0
"T9059018";"C100268";110.11;2;6;3532.0;0.2;0.271;0.084;0;0;1;0
"T9041660";"C100269";25.54;2;4;27.5;0.403;0.07;0.322;0;0;0;0
"T9029232";"C100270";35.03;2;3;27.9;0.387;0.299;0.084;0;0;0;0
"T9014018";"C100272";21.17;0;3;2.5;0.599;0.176;0.208;0;0;0;0
"T9024431";"C100274";22.19;1;7;22.7;0.334;0.163;0.337;0;0;0;0
"T9062941";"C100275";91.73;1;2;14.7;0.311;0.583;0.253;0;0;0;0
"T9020851";"C100276";101.54;2;6;35.0;0.385;0.263;0.14;0;0;0;0
"T9057874";"C100278";53.1;3;4;28.5;0.093;0.024;0.346;0;0;0;0
"T9037025";"C100279";32.84;2;3;3.0;0.426;0.216;0.124;0;0;0;0
"T9033079";"C100281";39.32;0;3;23.4;0.102;0.183;0.447;0;0;0;0
"T9030035";"C100282";129.08;3;8;15.7;0.372;0.155;0.101;0;0;0;0
"T9058085";"C100283";269.83;1;3;32.7;0.193;0.295;0.115;0;0;0;0
"T9010593";"C100286";9.5;1;3;74.8;0.141;0.12;0.242;0;0;0;0
"T9034686";"C100287";20.35;1;1;95.4;0.278;0.02;0.151;0;0;0;0
"T9003313";"C100288";18.19;0;3;25.4;0.32;0.309;0.026;0;0;0;0
"T9019568";"C100289";15.14;0;2;1785.5;0.04;0.478;0.185;0;0;1;0
"T9041030";"C100290";216.51;1;3;11.3;0.197;0.07;0.11;0;0;0;0
"T9005265";"C100291";117.93;1;2;3.3;0.173;0.567;0.335;0;0;0;0
"T9014090";"C100292";47.44;0;6;1.4;0.482;0.475;0.24;0;0;0;0
"T9037452";"C100293";65.81;2;4;1.5;0.144;0.121;0.033;0;0;0;0
"T9012728";"C100295";43.28;2;2;7.7;0.473;0.206;0.162;0;0;0;0
"T9027473";"C100296";278.61;0;1;1.5;0.453;0.443;0.214;0;0;0;0
"T9063320";"C100297";589.3;1;2;35.9;0.729;0.077;0.124;0;0;0;0
"T9059429";"C100298";13.87;1;2;3175.6;0.346;0.286;0.177;0;0;1;0
"T9025924";"C100299";74.16;0;2;10.3;0.549;0.075;0.285;0;0;0;1
"T9016356";"C100300";13.3;1;3;39.4;0.106;0.528;0.172;0;0;0;0
"T9045433";"C100303";148.03;2;6;7.5;0.204;0.121;0.161;0;0;0;1
"T9040199";"C100304";467.98;0;3;15.4;0.085;0.234;0.335;0;0;0;0
"T9042824";"C100305";15.19;0;2;18.9;0.345;0.054;0.338;0;0;0;0
"T9058197";"C100307";35.36;1;4;34.8;0.149;0.458;0.191;0;0;0;0
"T9007876";"C100308";88.28;1;2;63.1;0.192;0.269;0.269;0;0;0;0
"T9061818";"C100309";719.02;0;1;17.2;0.082;0.193;0.097;0;0;0;0
"T9062337";"C100312";28.85;0;2;32.1;0.577;0.068;0.098;0;0;0;0
"T9035761";"C100313";110.96;1;2;3.1;0.42;0.121;0.188;0;0;0;0
"T9012432";"C100314";55.09;0;3;5.0;0.151;0.117;0.045;0;0;0;0
"T9051286";"C100315";33.63;1;4;60.4;0.428;0.068;0.014;0;0;0;0
"T9045846";"C100318";178.23;3;9;172.9;0.224;0.45;0.473;0;0;0;0
"T9009118";"C100319";96.21;1;3;62.9;0.418;0.162;0.411;0;0;0;0
"T9042446";"C100321";72.37;0;5;9.5;0.433;0.08;0.208;0;0;0;0
"T9015875";"C100322";81.52;1;4;25.3;0.135;0.134;0.149;0;0;0;0
"T9045187";"C100323";40.4;0;0;25.3;0.18;0.147;0.06;0;0;0;0
"T9042020";"C100324";10.87;0;0;10.8;0.315;0.201;0.093;0;0;0;0
"T9017466";"C100325";105.79;1;4;30.9;0.563;0.213;0.046;0;0;0;1
"T9049235";"C100326";266.4;2;6;16.5;0.355;0.168;0.154;0;0;0;0
"T9059221";"C100328";89.6;0;5;8.2;0.228;0.033;0.109;0;0;0;0
"T9012266";"C100330";11.21;0;1;15.5;0.179;0.198;0.273;0;0;0;0
"T9016954";"C100331";74.34;0;3;33.6;0.339;0.319;0.169;0;0;0;0
"T9002574";"C100332";134.14;2;3;13.3;0.122;0.686;0.491;0;0;0;0
"T9044947";"C100333";25.8;1;4;78.3;0.41;0.376;0.067;0;0;0;0
"T9062271";"C100334";50.11;0;3;742.5;0.156;0.181;0.205;0;0;1;0
"T9062537";"C100336";53.75;5;8;7.0;0.192;0.378;0.235;0;0;0;0
"T9003874";"C100339";101.76;0;2;58.6;0.09;0.513;0.151;0;0;0;0
"T9016534";"C100340";126.23;0;0;1.4;0.154;0.313;0.257;0;0;0;0
"T9021003";"C100342";172.66;2;4;0.5;0.224;0.213;0.107;0;0;0;0
"T9018511";"C100343";4.5;0;2;3.2;0.213;0.225;0.157;0;0;0;0
"T9064384";"C100344";111.27;1;3;15.6;0.364;0.08;0.163;0;0;0;0
"T9043179";"C100346";27.62;0;5;6.8;0.419;0.244;0.068;0;0;0;0
"T9054761";"C100347";96.96;0;1;31.5;0.254;0.332;0.173;0;0;0;0
"T9050006";"C100348";34.25;2;4;54.0;0.152;0.291;0.114;0;0;0;0
"T9033486";"C100349";54.06;2;3;1119.0;0.633;0.299;0.148;0;0;1;0
"T9032837";"C100350";83.94;1;2;10.4;0.164;0.165;0.313;0;0;0;0
"T9021114";"C100351";29.53;0;2;0.1;0.168;0.397;0.132;0;0;0;0
"T9034490";"C100353";238.23;0;1;11.3;0.199;0.625;0.084;0;0;0;0
"T9013951";"C100354";213.16;1;3;2.1;0.309;0.329;0.048;0;0;0;0
"T9059783";"C100355";105.52;1;1;29.0;0.34;0.071;0.263;0;0;0;0
"T9019599";"C100356";58.98;3;4;7366.5;0.128;0.176;0.051;0;0;1;1
"T9040898";"C100358";284.05;0;1;3.3;0.069;0.191;0.108;0;0;0;0
"T9005672";"C100359";63.94;0;1;49.3;0.139;0.138;0.09;0;0;0;0
"T9038172";"C100360";47.9;1;4;35.9;0.106;0.078;0.294;0;0;0;0
"T9046337";"C100361";48.72;1;1;18.5;0.391;0.078;0.07;0;0;0;0
"T9035145";"C100363";22.54;0;4;35.7;0.14;0.474;0.145;0;0;0;0
"T9017768";"C100365";90.63;1;2;6.3;0.245;0.355;0.056;0;0;0;0
"T9015767";"C100366";110.63;0;1;14.4;0.149;0.183;0.39;0;0;0;0
"T9031729";"C100367";160.48;4;5;5.3;0.257;0.221;0.068;0;0;0;0
"T9040614";"C100368";383.3;2;4;8.4;0.25;0.451;0.23;0;0;0;0
"T9058909";"C100369";65.3;2;5;11.6;0.331;0.266;0.071;0;0;0;0
"T9048509";"C100370";27.85;1;3;26.0;0.293;0.046;0.171;0;0;0;0
"T9004815";"C100371";7.38;0;0;20.6;0.185;0.521;0.528;0;0;0;0
"T9057675";"C100372";35.85;0;2;21.8;0.318;0.66;0.286;0;0;0;0
"T9007318";"C100373";28.54;3;3;1670.0;0.134;0.143;0.143;0;0;1;0
"T9027159";"C100376";53.89;2;4;3.0;0.227;0.502;0.181;0;0;0;0
"T9028929";"C100377";65.46;0;1;14.8;0.439;0.721;0.028;0;0;0;0
"T9016097";"C100378";43.92;1;3;2.0;0.075;0.1;0.454;0;0;0;0
"T9012724";"C100380";36.17;4;6;31.4;0.2;0.337;0.122;0;0;0;0
"T9060290";"C100381";51.74;0;2;36.2;0.478;0.088;0.027;0;0;0;0
"T9009806";"C100382";48.14;1;4;27.9;0.367;0.077;0.559;0;0;0;0
"T9028040";"C100383";16.66;0;1;9.8;0.342;0.091;0.267;0;0;0;0
"T9059272";"C100386";185.33;2;3;35.3;0.225;0.251;0.291;0;0;0;0
"T9005563";"C100387";3.12;0;4;6.7;0.156;0.113;0.172;0;0;0;0
"T9013557";"C100389";49.99;0;1;82.4;0.447;0.415;0.187;0;0;0;0
"T9015176";"C100392";6.53;3;5;51.7;0.657;0.483;0.175;0;0;0;0
"T9024424";"C100393";105.22;3;7;1.1;0.162;0.191;0.325;0;0;0;0
"T9062246";"C100396";64.12;2;3;1.3;0.629;0.282;0.12;0;0;0;0
"T9003242";"C100397";128.55;2;6;28.7;0.506;0.135;0.016;0;0;0;0
"T9003075";"C100398";254.51;0;3;6.6;0.153;0.561;0.341;0;0;0;0
"T9042010";"C100399";12.66;2;3;18.8;0.334;0.673;0.06;0;0;0;0
"T9025031";"C100401";293.11;1;3;3.3;0.331;0.229;0.114;0;0;0;0
"T9029145";"C100402";24.95;2;3;6.8;0.327;0.341;0.094;0;0;0;0
"T9033344";"C100405";50.98;3;4;45.5;0.039;0.609;0.196;0;0;0;0
"T9031799";"C100406";586.4;1;5;25.0;0.142;0.155;0.225;0;0;0;0
"T9011789";"C100407";25.16;1;10;27.3;0.121;0.363;0.088;0;0;0;0
"T9023338";"C100408";646.86;0;4;1828.6;0.207;0.264;0.113;0;0;1;0
"T9019172";"C100410";122.25;1;3;107.9;0.26;0.469;0.19;0;0;0;0
"T9028277";"C100411";56.65;0;1;24.8;0.128;0.145;0.278;0;0;0;0
"T9027054";"C100413";271.92;2;3;30.7;0.141;0.052;0.098;0;0;0;0
"T9034043";"C100414";51.2;1;6;8.6;0.555;0.291;0.285;0;0;0;0
"T9012913";"C100415";24.27;1;1;0.6;0.086;0.24;0.036;0;0;0;0
"T9019386";"C100416";58.9;0;1;0.9;0.162;0.163;0.216;0;0;0;0
"T9057709";"C100418";111.43;0;2;35.1;0.28;0.171;0.49;0;0;0;0
"T9036202";"C100420";129.33;1;3;1.2;0.162;0.292;0.155;0;0;0;0
"T9048060";"C100421";65.94;1;4;7.6;0.427;0.247;0.123;0;0;0;0
"T9047419";"C100422";350.93;1;2;1.6;0.516;0.316;0.162;0;0;0;0
"T9046465";"C100423";79.39;1;2;30.3;0.512;0.359;0.107;0;0;0;0
"T9040712";"C100424";245.84;0;0;3.1;0.42;0.136;0.019;0;0;0;0
"T9058493";"C100425";48.14;3;6;2129.8;0.254;0.308;0.334;0;0;1;1
"T9051956";"C100426";22.27;0;1;1532.3;0.408;0.213;0.067;0;0;1;0
"T9026237";"C100428";102.95;0;0;9.7;0.228;0.323;0.226;0;0;0;0
"T9061626";"C100429";190.31;1;4;7.3;0.287;0.072;0.179;0;0;0;0
"T9055320";"C100430";155.39;2;3;30.6;0.454;0.618;0.332;0;0;0;0
"T9017295";"C100432";99.88;1;6;11.9;0.578;0.39;0.368;0;0;0;0
"T9048705";"C100433";36.42;0;1;5.4;0.238;0.377;0.132;0;0;0;0
"T9023201";"C100434";94.33;1;1;4.8;0.249;0.158;0.103;0;0;0;0
"T9032246";"C100435";34.25;1;7;2.4;0.194;0.177;0.202;0;0;0;0
"T9024275";"C100436";210.89;3;5;7.6;0.553;0.174;0.084;0;0;0;0
"T9027227";"C100437";178.02;1;7;13.6;0.379;0.19;0.226;0;0;0;0
"T9048078";"C100438";38.97;0;2;4.0;0.237;0.425;0.349;0;0;0;0
